name,site,transect,br_filam,br_sarg,gr_fil,gr_ulva,ke_5rib,ke_sieve,ke_stipe,ke_sugar,ms,re_branch,re_bush,re_fil,re_leaf,si_kelpbry,su_anth,su_bould,su_cob,su_peb,su_sand,su_shell,su_silt,unknown,br_fucus,ke_bull,ke_holdfas,review
2024_10_08_11-32-32.jpg,Centennial,4,0.08,0.06,0.0,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.04,0.1,0.0,0.0,0.02,0.02,0.12,0.0,0.0,0.08,0.0,,,,
2024_10_08_11-32-41.jpg,Centennial,4,0.04,0.12,0.0,0.36,0.0,0.0,0.0,0.04,0.0,0.02,0.0,0.1,0.04,0.0,0.0,0.0,0.02,0.22,0.0,0.0,0.04,0.0,,,,
2024_10_08_11-32-50.jpg,Centennial,4,0.08,0.06,0.0,0.34,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.06,0.06,0.0,0.0,0.08,0.06,0.16,0.02,0.0,0.06,0.0,,,,
2024_10_08_11-32-59.jpg,Centennial,4,0.02,0.06,0.0,0.4,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.02,0.08,0.16,0.0,0.0,0.18,0.0,,,,
2024_10_08_11-33-08.jpg,Centennial,4,0.0,0.0,0.0,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.04,0.04,0.08,0.0,0.0,0.12,0.0,,,,
2024_10_08_11-33-17.jpg,Centennial,4,0.0,0.0,0.0,0.74,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,0.08,0.0,0.0,0.08,0.02,,,,
2024_10_08_11-33-26.jpg,Centennial,4,0.08,0.0,0.0,0.58,0.0,0.02,0.0,0.14,0.0,0.02,0.02,0.02,0.02,0.0,0.0,0.02,0.02,0.0,0.0,0.0,0.06,0.0,,,,
2024_10_08_11-33-35.jpg,Centennial,4,0.0,0.0,0.0,0.7,0.06,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.02,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.1,0.0,,,,
2024_10_08_11-33-44.jpg,Centennial,4,0.0,0.0,0.0,0.64,0.0,0.0,0.0,0.14,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,0.12,0.0,,,,
2024_10_08_11-33-53.jpg,Centennial,4,0.0,0.0,0.0,0.54,0.0,0.0,0.0,0.02,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.08,0.0,0.26,0.02,,,,
2024_10_08_11-34-02.jpg,Centennial,4,0.0,0.0,0.0,0.72,0.0,0.0,0.0,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.08,0.04,0.0,0.0,0.06,0.02,,,,
2024_10_08_11-34-11.jpg,Centennial,4,0.0,0.0,0.0,0.92,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.04,0.0,0.0,0.0,0.0,,,,
2024_10_08_11-34-20.jpg,Centennial,4,0.0,0.0,0.0,0.44,0.14,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.18,0.0,0.0,0.06,0.0,,,,
2024_10_08_11-34-29.jpg,Centennial,4,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.0,0.0,0.06,0.12,0.22,0.0,0.0,0.04,0.0,,,,
2024_10_08_11-34-38.jpg,Centennial,4,0.0,0.0,0.0,0.62,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.12,0.1,0.0,0.08,0.0,,,,
