img_name,key,site,transect,depth,depth_site_span,depth_transect_span,altitude,GPS_x,GPS_y,richness,Shannon,Simpson,Pielou,cup_SI,anem_SI,bivalve_SI,CaCuc_MS,crab_MS,CucEmb_SI,encru_SI,gastro_MS,HydBry_SI,KelpBry_SI,scallop_SI,SponSol_SI,SStar_MS,TunSol_SI,urchin_MS,shell_SU,SS_SU,bould_SU,cob_SU,concr_SU,lgshell_SU,peb_SU,reef_SU,wood_SU,anth_SU,fish_MS,glass_SU,metal_SU,poly_SU,UNIdent,X3rib_KE,X5rib_KE,art_CA,branch_RE,broad_KE,bullBL_KE,bullST_KE,bushy_RE,cabb_KE,coland_KE,cord_KE,crust_CA,DiRet_KE,feath_KE,filam_BR,filam_RE,FlatAci_BR,fucus_BR,giant_KE,holdfas_BR,LaEph_KE,LaLoSi_KE,leaf_RE,palm_KE,ribbn_KE,sargass_BR,senes_AL,senes_RE,split_KE,stalk_KE,strap_KE,StriAci_BR,sugar_KE,ulva_GR,undaria_BR,unk_BR,unk_RE,eel_SG,surf_SG,AN_large,AN_plumose,CL_siphon,CR_cancer,CR_kelp,CR_sharp,CU_burrow,CU_cali,fish_gunn,fish_sculp,GR_kelp,GR_lingcod,GR_painted,RF_brown,RF_copper,SP_stripe,SP_kelp,SP_pile,SP_shiner,SS_blood,SS_leather,SS_ochre
2022_10_06_13-50-40_88.jpg,1_1,1,1,6.2484,1.28016,1.09728,0.970333333,47.63028123,-122.3983597,4,0.940447988655326,0.48,0.67838982472352,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,7,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022_10_06_13-50-40_152.jpg,1_1,1,1,6.03504,1.28016,1.09728,0.921777778,47.63029428,-122.3984651,2,0.228631873582861,0.11386593204775,0.329846070207146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,2,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022_10_06_13-50-40_336.jpg,1_1,1,1,5.91312,1.28016,1.09728,0.904777778,47.6303156,-122.3987463,2,0.693147180559945,0.5,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,3,0,0,1,0,0,0,0,0,0,0,6,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022_10_06_13-50-40_136.jpg,1_1,1,1,6.096,1.28016,1.09728,0.963333333,47.63029115,-122.3984387,2,0.636514168294813,0.444444444444444,0.918295834054489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,1,0,3,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022_10_06_13-50-40_200.jpg,1_1,1,1,5.97408,1.28016,1.09728,0.972,47.63030188,-122.3985406,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,4,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022_10_06_13-50-40_432.jpg,1_1,1,1,5.42544,1.28016,1.09728,1.2251,47.6303266,-122.3988875,3,0.936888307539016,0.567901234567901,0.85279248849004,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,3,0,1,0,0,0,0,0,0,0,0,0,0,41,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,28,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2022_10_06_13-50-40_24.jpg,1_1,1,1,6.43128,1.28016,1.09728,0.964555556,47.63027104,-122.3982706,2,0.422709087805991,0.255,0.6098403047164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,3,0,11,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,2,0,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022_10_06_13-50-40_16.jpg,1_1,1,1,6.46176,1.28016,1.09728,0.968444444,47.63026998,-122.3982604,3,0.893223951017086,0.541322314049587,0.81304747837836,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,13,7,0,5,0,0,4,0,0,0,0,0,0,0,2,0,10,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022_10_06_13-50-40_416.jpg,1_1,1,1,5.45592,1.28016,1.09728,1.017888889,47.63032454,-122.3988611,2,0.489551893622929,0.310650887573964,0.706274089187601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,5,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022_10_06_13-50-40_72.jpg,1_1,1,1,6.2484,1.28016,1.09728,1.015,47.63027808,-122.398334,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,8,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,8,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
